squareMeters,numberOfRooms,floors,cityCode,numPrevOwners,made,isNewBuilt,basement,hasStorageRoom,hasGuestRoom,price
30226,74,87,71053,9,2007,0,515,0,4,3039243.7
58478,5,35,5898,10,2016,0,8366,1,7,5853710.6
66621,48,89,52165,1,1995,1,5024,1,4,6666403.5
73314,43,38,49895,1,2018,0,3281,0,8,7336538.8
59972,28,18,32083,8,2021,1,8384,1,4,6000826.1
71591,20,58,46834,4,1998,0,6486,0,0,7165980.8
92462,52,46,22405,6,2019,1,9584,0,8,9257840.9
52325,60,24,76804,5,1992,1,8987,1,4,5238533.2
67311,67,10,45626,3,1990,1,6928,1,5,6732249.0
45050,99,87,20318,8,2013,1,5218,0,3,4508695.3
61534,73,97,22943,5,2001,0,9265,1,6,6159875.1
84091,50,72,22718,5,1993,0,2668,0,8,8414104.3
77579,69,97,88798,1,1999,1,4850,1,8,7767797.9
25204,31,37,87552,10,2020,1,6560,0,6,2530488.0
42059,46,62,43289,3,2017,1,8827,1,3,4212125.7
38430,43,51,3406,4,2021,0,1214,0,8,3846214.1
7069,4,89,55300,2,2009,1,7499,1,3,709107.9
34780,75,9,67297,5,2019,0,3033,1,4,3480536.9
12757,100,7,19550,8,2020,1,6795,0,5,1277834.0
33749,74,38,73976,7,1999,1,1729,1,2,3380855.9
600,37,43,72736,7,2011,1,6738,0,1,63402.1
7239,61,83,26435,7,1994,1,7782,0,4,733776.4
34919,20,84,60113,1,1997,0,6566,0,2,3499532.7
25614,29,27,52970,1,1994,1,700,1,9,2563970.4
51434,64,23,79754,2,2012,1,2080,0,7,5146226.2
78960,55,76,23408,4,2015,1,7126,1,0,7900996.5
70751,64,41,92268,9,2006,1,1506,1,7,7084110.6
81870,60,100,58048,8,2020,0,3632,1,3,8198185.0
91559,36,21,82521,2,2007,0,788,1,8,9161130.7
72098,9,67,91168,3,2014,1,9080,1,9,7216904.4
23177,19,52,69373,1,2003,0,2706,1,6,2318776.3
39517,92,85,51212,6,2019,0,7618,1,9,3953491.9
55232,23,8,849,3,1991,0,1492,0,6,5524015.1
53735,49,92,2423,7,2006,0,8654,1,8,5384554.6
67753,72,78,31721,9,1995,1,7480,0,6,6789580.5
1450,59,1,2317,9,2018,1,1285,1,10,146181.8
82141,93,61,74213,7,2019,1,8785,1,4,8225970.9
17868,73,35,48674,9,2013,0,1718,1,2,1792308.3
71397,71,93,68199,10,1995,1,3477,0,2,7145471.5
32623,35,14,80204,6,2003,1,4633,0,8,3267852.3
23841,71,25,32106,7,2010,1,7590,1,1,2390804.0
16495,94,6,90448,10,1991,1,2214,1,7,1650711.1
39109,24,67,74477,3,2002,1,1642,0,9,3917652.2
65151,81,3,66191,9,1991,0,3218,0,4,6522781.1
61484,91,94,87015,8,2013,1,5486,0,3,6154833.3
57160,15,43,40786,8,2002,0,4018,1,2,5724102.2
13346,57,57,30010,8,2021,1,2525,0,8,1336414.1
27351,77,36,98465,1,1997,1,1150,1,0,2738851.7
18466,50,60,89670,2,2020,0,2475,0,5,1849227.0
45441,29,66,21239,5,2004,0,8121,0,6,4552319.4
55933,15,97,5800,8,2001,1,7369,1,6,5599976.1
81936,68,92,6143,1,2011,1,6393,0,0,8198107.1
18237,70,74,25093,6,2011,0,7173,1,9,1833338.1
35631,54,7,77355,6,2018,1,216,1,10,3568002.8
99683,12,77,18300,8,2002,0,4034,1,6,9977000.2
47664,44,77,98008,3,2010,1,2662,0,6,4770073.0
62887,45,7,91125,3,1993,1,292,0,4,6293710.3
18470,20,73,9406,1,2000,1,4089,1,6,1852115.0
36031,63,47,74698,8,2001,0,9701,0,4,3612495.1
22776,84,5,82401,9,1993,0,2422,1,7,2278599.3
14830,81,1,17641,10,1992,1,6151,0,9,1487488.2
43944,40,69,5581,5,2012,0,7466,1,6,4403326.2
73062,34,38,44770,8,2016,0,9823,1,0,7313447.6
84284,76,39,55723,1,1998,0,4500,0,6,8432554.8
9619,66,91,82543,5,1991,0,1069,0,10,969806.1
11410,96,96,85454,3,2019,0,1466,1,1,1150663.9
29855,63,23,78080,5,2000,0,3861,0,6,2987645.0
46716,94,58,25303,5,2008,0,1361,0,3,4674140.8
77046,69,85,43517,2,1992,0,8135,0,3,7714235.2
58855,1,66,20127,7,2004,0,2267,0,3,5892518.4
69165,66,74,51371,4,2009,1,1543,1,9,6926290.9
57915,25,84,87517,4,2007,1,3394,0,5,5800324.7
66279,47,9,21934,2,2003,0,5079,0,10,6631365.3
16068,21,13,21716,8,1991,1,8893,0,2,1611707.1
74325,50,58,91978,10,1994,0,4008,0,5,7443433.4
35742,46,47,84138,1,2014,1,1732,0,7,3581003.4
9026,51,28,85842,5,2000,1,779,0,10,904797.0
16899,19,14,47328,4,2020,0,5710,1,7,1693690.0
99854,82,64,82741,8,2009,0,4827,0,7,9989598.9
33743,56,29,21945,8,2006,0,7330,0,6,3382812.6
72798,22,30,61212,3,2007,0,2209,0,7,7290431.7
86492,21,86,42450,7,1992,1,7843,0,0,8654049.2
38937,35,77,2867,6,2013,1,1312,0,1,3901433.3
24762,22,62,50367,10,1999,1,5264,1,1,2480900.9
91047,45,65,41065,2,1999,0,7241,1,1,9109264.9
55527,64,44,61931,2,2005,0,9385,1,9,5557814.5
70606,17,79,38,3,2017,1,4927,0,5,7070662.7
67327,47,87,26709,3,1990,0,1097,0,10,6741466.0
6125,90,29,95979,2,2012,1,6423,0,10,615143.2
71833,37,51,58147,5,2013,0,3772,1,6,7185318.3
20811,98,71,91543,4,1995,0,112,0,3,2090690.5
7643,98,63,5989,3,1999,1,2142,1,7,765618.9
16669,95,81,15949,3,2007,0,6109,1,1,1676719.7
84006,73,97,54296,7,2000,1,9698,0,4,8409827.0
34059,49,90,63489,8,1993,0,4138,0,2,3412619.3
36131,95,88,72385,8,1991,1,1046,0,8,3620939.1
8201,18,66,38920,2,2007,0,4949,1,6,826967.7
38398,84,22,44513,8,1994,1,1618,0,8,3842545.4
38833,10,14,28075,3,2014,1,1828,1,8,3884619.4
41488,22,59,2019,1,2013,0,2090,0,3,4151539.3
5205,2,15,71289,3,2005,0,8342,0,0,521650.5
45066,28,62,85825,5,2013,0,7092,1,0,4508367.3
63875,53,14,54408,3,1999,1,4139,0,6,6394774.9
25052,88,94,1083,6,2020,0,718,0,10,2515214.0
51457,64,32,68294,10,2016,0,3016,1,4,5150600.6
84396,64,96,88421,7,2015,1,7416,1,2,8449333.5
64920,98,63,1173,8,2016,1,2287,1,6,6501809.6
9166,4,16,26610,1,2015,1,6838,1,8,922847.5
85558,48,83,55318,9,2017,0,7997,1,0,8568781.7
87267,75,81,57714,10,2019,0,6899,1,4,8731940.9
96091,100,24,99874,3,1999,0,6546,0,6,9615021.9
38003,98,6,49191,10,2008,0,9981,0,2,3803545.8
83120,97,68,93953,6,2015,0,15,0,1,8318749.5
20468,100,34,63924,4,2003,0,9659,0,0,2049846.3
75152,91,37,61836,3,2018,1,4717,0,2,7518709.8
32688,9,18,86166,5,2013,0,9089,1,7,3274057.3
45868,72,69,33082,7,1994,1,7668,0,10,4600708.4
73900,69,36,57473,3,2018,0,9847,1,4,7394635.8
16000,41,25,86898,4,2007,0,7228,0,6,1606948.7
1423,59,30,21687,4,1993,1,3900,0,8,149234.3
29951,37,13,56604,8,1995,1,5692,0,0,3002371.5
40231,84,41,64474,5,1999,0,5700,1,0,4030226.9
59517,38,69,93928,8,2003,1,6831,1,6,5958698.3
98969,26,69,36941,8,2003,0,3744,1,5,9902968.3
99177,49,41,5100,10,2021,1,6326,1,3,9919217.1
89157,46,42,34482,6,2009,0,3510,1,4,8920282.9
67429,60,24,89820,7,1991,1,3578,1,1,6749654.1
38431,57,60,69199,3,2020,1,4121,0,8,3848467.0
72495,76,59,8723,10,1994,1,3413,1,0,7259025.4
85362,77,19,40604,5,1997,0,7728,1,4,8541211.7
28597,93,47,16237,9,1990,0,4492,0,8,2863386.0
13687,36,93,2400,5,2001,1,4148,0,5,1376329.1
50479,3,73,39939,9,2020,0,4149,0,5,5057657.0
98121,38,57,20289,4,1995,0,6028,0,2,9817494.5
57736,16,21,83855,6,1999,0,6099,0,2,5775940.9
30356,40,85,13378,1,1992,0,7660,0,8,3039209.2
21141,38,80,65184,3,1998,1,169,1,10,2126023.8
98122,34,7,80176,4,2009,0,7125,1,5,9813433.9
34746,12,15,57668,5,2000,0,2840,0,4,3478332.0
17297,43,19,99289,5,2012,1,3216,1,2,1738971.2
80324,47,7,20394,2,1993,1,325,0,9,8039714.3
15815,13,2,2179,1,2019,1,637,0,4,1585031.9
1066,5,46,65388,9,2017,0,2723,1,5,114605.7
79275,95,67,13000,9,1995,0,3689,1,3,7930383.5
20658,7,48,80216,10,1997,0,8080,1,10,2076936.7
8687,88,64,2052,6,1993,1,7414,1,3,877525.3
69638,42,63,89878,2,1991,1,4703,1,6,6977654.1
94036,18,19,79418,9,2001,1,5913,0,10,9406163.1
60889,72,87,55928,8,2018,1,7437,0,7,6091341.8
11680,21,14,5324,1,1992,1,7478,1,6,1169431.2
11458,96,31,95286,5,2010,1,1365,0,6,1154040.0
20397,67,79,29406,7,1997,0,705,1,3,2042985.7
83206,34,51,27565,9,1999,1,9170,0,9,8326302.9
8951,11,63,32412,10,1997,1,6189,0,1,904889.7
22854,41,89,74420,7,2001,0,6216,1,0,2292467.1
46042,52,74,45861,8,2015,1,65,0,5,4605791.5
93506,20,28,7068,9,2017,1,5297,1,8,9356982.7
58748,76,40,20761,5,2010,0,1627,0,2,5875981.0
715,71,23,33439,3,2010,0,8609,1,8,74252.0
55327,22,59,76622,2,1993,1,7163,1,8,5540589.3
63631,84,12,31269,10,2000,0,239,1,4,6369055.0
77915,99,21,63942,10,2018,0,1081,0,4,7793915.8
91804,5,81,87339,9,1999,0,8554,1,8,9182083.9
57295,95,69,32081,2,1994,1,9771,1,7,5731510.4
61057,65,77,17051,8,1998,1,9762,1,6,6114671.8
91626,83,55,59173,5,1991,1,2684,1,8,9169068.1
29356,96,46,4864,9,1990,1,1780,1,3,2948071.0
27134,62,2,1498,7,2003,0,3718,1,3,2715604.3
1682,65,79,7602,3,2017,0,2590,1,4,174918.7
98868,41,67,85917,3,2021,1,2146,1,3,9892300.1
23898,62,93,73176,9,1996,0,8256,0,1,2399286.6
83110,43,75,55046,10,2001,1,4108,1,7,8321631.1
71154,67,53,8762,6,2021,1,8418,0,8,7122699.1
90841,48,15,25300,5,2003,0,3333,0,9,9086177.3
68416,87,48,60979,7,2010,0,1811,0,6,6846709.0
47585,95,5,81532,1,1993,1,5101,0,0,4759724.3
28452,79,40,79918,10,2006,1,388,1,2,2850377.6
15630,78,4,98750,3,1996,1,7084,1,0,1565985.6
65900,36,99,27819,5,2017,0,2637,0,1,6605894.7
21600,94,56,85215,8,2000,0,3129,1,3,2166421.0
74704,31,22,93675,9,1992,1,7463,0,9,7472587.2
87291,78,42,5950,3,2017,0,6214,1,2,8739254.7
96687,65,81,70871,4,2012,0,2438,1,6,9673884.2
60567,65,100,39919,6,2019,1,7010,1,0,6071330.9
4872,41,74,79028,6,1990,1,5851,0,6,489455.0
9157,48,53,6500,10,2009,0,6401,0,8,922102.9
65217,26,39,96357,8,2019,0,1374,0,10,6531999.9
87346,56,82,34773,9,1990,0,5792,1,4,8743241.0
47701,26,46,73572,5,2001,1,5447,0,3,4773352.1
14766,50,79,36865,1,2001,0,8031,0,4,1488265.1
94841,19,75,11526,5,1998,1,3157,1,6,9498026.8
59318,92,91,68354,8,2002,0,9413,1,5,5939275.2
1796,28,4,66676,1,1997,0,8360,0,4,180265.7
96526,36,34,61875,2,2020,0,2131,1,0,9661068.0
62876,36,9,90089,8,2006,0,338,1,4,6288117.6
59558,43,89,79779,3,2012,0,9174,1,5,5967916.2
97008,89,4,11466,5,2014,1,8321,1,0,9703551.4
66746,6,10,22139,3,1997,0,1567,1,3,6678869.7
25776,36,93,4777,9,2002,0,688,1,10,2582235.2
96195,97,64,91809,4,2018,1,3874,0,3,9626665.8
4805,47,99,48026,5,1995,0,2788,1,0,486824.5
23045,21,75,72570,5,1990,0,651,0,0,2312202.0
95441,70,65,3574,10,2017,1,2841,1,3,9554998.7
28381,34,64,44973,2,2009,1,6737,1,2,2847241.9
15731,34,37,93825,2,2003,0,7361,0,5,1582940.3
18966,58,25,4414,4,2019,1,2327,0,0,1902151.9
24393,46,16,18507,8,2019,0,4080,1,2,2449464.9
53339,67,11,6144,1,2013,1,368,0,3,5335546.3
44053,17,55,70068,3,2004,1,6586,0,3,4413295.4
70898,98,92,51635,1,1994,0,4848,1,3,7091863.4
84483,41,85,28464,3,2019,1,6052,1,6,8452134.9
35716,24,52,77207,2,2013,1,8821,0,10,3574932.3
64693,64,81,90290,9,2013,0,7506,0,7,6471378.3
32593,40,94,89328,9,2006,0,2261,1,2,3265750.6
1607,63,52,32832,8,2020,1,2844,0,7,173112.0
39484,74,30,6688,4,1991,1,3172,1,9,3954971.1
32458,28,20,47125,3,2015,0,8462,1,7,3253846.5
72243,64,23,34837,1,2004,1,4431,1,3,7229477.4
20624,44,83,50284,2,1996,0,318,0,4,2070369.6
7443,38,41,4785,8,2005,0,3249,0,1,748338.5
78382,41,14,58781,1,2020,1,8751,1,6,7840062.0
70614,15,100,61317,5,2010,1,4845,0,2,7075926.0
32235,59,10,76786,6,2016,1,7388,0,10,3225143.6
2523,12,67,75753,10,2015,1,150,1,1,260710.5
87864,55,77,48421,4,2019,1,7834,0,9,8790481.9
18316,97,3,68804,5,1991,1,5804,1,9,1832673.1
94471,30,79,55210,1,2011,0,1327,0,3,9454072.1
60704,96,29,18856,10,2004,0,4505,1,2,6080655.4
54020,4,64,58230,3,2013,0,8767,1,4,5406334.3
59612,37,56,69063,7,2017,1,5616,1,2,5967739.7
56467,63,41,28576,2,1990,1,2743,0,0,5649094.0
65625,55,36,89469,10,2015,0,774,1,10,6567597.5
41570,76,98,21758,4,2014,1,3573,1,10,4167932.4
44862,99,68,58122,5,1992,0,9383,0,3,4493882.2
47212,37,81,4826,4,2001,0,7210,0,9,4734236.1
2840,17,26,94918,4,2004,1,6848,1,10,288797.4
40465,85,100,6023,9,2004,0,6327,1,0,4052600.4
17191,80,29,49538,5,1995,1,3192,1,9,1728829.5
56480,85,80,21192,3,2016,0,8211,0,1,5653048.6
70503,78,29,72210,6,2021,1,6819,0,4,7051701.1
4885,100,54,79559,8,1993,0,9519,0,6,493693.3
58263,65,57,39046,10,2006,0,7942,1,3,5840294.6
47647,52,6,24285,2,2002,1,3220,1,10,4768169.2
57916,51,24,8801,1,1998,0,3831,1,1,5792783.8
6396,71,40,28917,6,2005,1,413,0,9,643620.5
41972,18,49,40098,7,1995,1,842,0,0,4206464.5
94311,11,47,89062,1,2007,0,3619,0,7,9439790.7
10714,41,98,23803,6,1996,0,2598,1,6,1075982.6
11259,26,82,34780,4,2010,1,902,1,7,1134964.0
3534,16,13,39998,1,2003,0,5811,0,0,359850.3
52680,10,79,10177,4,1991,0,5687,0,0,5274696.1
62711,60,29,42211,10,2007,0,4484,0,6,6272944.7
19268,12,77,38471,5,2010,1,1133,1,3,1938014.0
36119,39,46,16503,4,2019,0,3958,1,3,3620813.9
28394,53,7,81916,8,2003,0,63,0,2,2840816.3
20392,33,84,53104,5,2007,0,1256,1,2,2046763.7
7259,25,39,860,4,2014,0,6482,0,5,735079.4
28183,81,52,44087,2,1993,1,2798,1,10,2821593.3
92188,14,95,5286,2,1996,1,61,0,0,9227140.6
29815,28,77,46462,7,1995,0,3530,0,0,2989048.5
50219,96,54,23667,6,2003,0,8051,1,0,5025975.3
1722,56,84,27948,8,2002,1,6240,1,2,182838.2
70399,14,85,82950,5,2013,0,8009,0,4,7048784.3
28790,52,15,13856,6,2021,1,1238,0,4,2883447.1
92962,7,37,32437,1,2000,1,6581,0,3,9304587.0
34245,2,85,50891,4,2010,1,251,1,5,3430728.0
54677,64,94,77132,10,1996,1,1236,1,2,5477618.6
74227,84,5,98736,7,2000,1,4609,0,5,7427853.0
94939,46,48,55155,10,2009,1,9164,1,7,9503765.9
48884,58,32,15276,7,2010,1,311,0,9,4895277.0
10638,39,33,64229,4,2016,0,3142,1,10,1066200.6
90315,61,91,21653,7,1994,1,5604,1,7,9044477.4
17633,28,83,83228,2,2013,1,1644,1,2,1767487.3
63242,45,18,63066,10,2017,0,6932,1,1,6327623.7
79344,46,42,19012,3,1991,1,8088,1,7,7945562.1
72093,48,92,83520,1,2005,1,4805,0,9,7223902.5
13378,59,9,2735,1,2001,1,8171,0,7,1342476.1
47019,35,9,60947,4,2020,0,2005,1,6,4706162.0
34666,75,14,28826,2,2002,1,9405,1,6,3477313.2
93509,28,62,48468,2,1992,1,72,1,6,9361261.2
13583,42,32,42009,2,2015,1,4519,0,10,1364589.5
19649,11,83,87255,4,1999,1,595,1,2,1970018.9
141,16,58,42248,4,1997,1,3411,0,4,22670.7
22821,64,14,66304,8,1993,1,2060,1,2,2289134.3
533,76,55,94923,8,2021,1,654,0,9,65465.1
67020,71,38,64361,7,2015,0,3647,0,1,6711051.5
49094,30,49,90656,2,2021,0,4934,1,8,4916616.1
25269,88,92,86720,7,2019,1,3464,1,1,2530193.9
71989,41,77,50519,3,2003,0,7290,1,4,7204744.3
73180,1,54,38386,7,2011,0,3340,1,10,7325717.1
18926,58,84,32618,4,1998,1,5353,1,8,1908217.8
6492,76,88,81044,3,2018,1,2655,0,9,652565.8
98045,4,8,78526,5,2002,0,9321,1,0,9814193.2
51589,83,43,55528,10,1998,1,7867,1,5,5167451.8
24390,75,44,70527,9,1992,0,7295,0,1,2446317.2
75890,10,59,33129,5,2001,0,270,0,8,7597786.1
29220,9,59,33789,6,1994,1,391,0,0,2929116.4
72433,57,18,69864,7,2001,0,6995,1,0,7250644.1
57467,98,64,24393,3,1993,0,661,1,2,5749361.3
81482,76,9,56103,7,1997,0,2265,0,6,8153070.7
61346,69,52,63238,10,2009,0,7427,1,10,6141452.9
80915,23,67,46095,6,1992,1,5351,0,0,8104297.2
65479,74,35,99953,5,2000,0,9347,0,10,6552454.0
48302,22,13,82376,9,2017,0,9855,1,1,4833604.7
76690,21,99,91395,1,1990,1,611,1,8,7682267.0
14447,39,23,93847,8,2002,0,5371,0,6,1448447.2
24213,31,93,51767,7,1994,1,1561,0,5,2431969.4
1843,30,3,3,7,2007,1,1313,0,5,189919.7
78183,65,86,3648,9,2007,0,8682,1,4,7829898.7
99323,35,28,69665,7,2018,0,6346,1,3,9939399.8
67491,21,57,5308,7,2007,1,1253,1,0,6750826.7
2588,82,69,25395,5,2016,0,7247,0,8,267798.6
76635,6,1,73981,5,1999,0,981,1,1,7669791.9
45070,100,92,21335,9,1997,1,1333,1,0,4510977.7
62381,58,44,22862,4,2003,1,1809,1,6,6243323.3
98543,2,44,88249,3,1992,0,2955,0,7,9860222.2
13972,39,8,91674,2,2009,0,1477,1,2,1397748.9
71567,70,94,64245,8,1992,0,5968,0,4,7166917.2
36804,99,12,76338,8,1996,0,6951,1,6,3681839.6
21297,71,14,75154,3,1995,1,8198,0,4,2136801.5
9950,1,69,79019,10,2012,0,3156,0,4,1000736.2
3661,50,24,1138,8,2007,1,6186,0,7,372556.7
88102,51,70,42082,3,2016,1,7245,1,9,8821018.6
72596,91,90,32957,6,2015,1,9595,1,0,7262781.5
70763,4,38,18220,4,2015,1,7098,0,9,7082373.5
12002,58,41,2764,8,1995,1,1718,1,1,1203664.5
26146,34,98,431,9,2011,1,2060,1,7,2627462.1
13716,62,98,61202,8,1990,0,5967,0,10,1382883.0
23281,32,52,87667,10,2020,1,3681,1,3,2339782.0
3824,45,9,11597,6,2019,0,3191,0,0,386574.9
56086,3,46,52007,2,2021,0,2853,0,1,5615576.1
19014,67,89,82387,2,1999,0,3330,0,6,1912984.9
80808,59,1,18733,5,2004,0,3879,0,5,8085990.4
83602,5,2,48528,7,1991,1,8993,1,5,8365162.1
99767,27,79,46530,8,2018,1,520,1,2,9985836.8
60675,32,51,97066,7,2002,1,5953,0,6,6075733.2
20210,2,78,77066,8,2007,1,2811,0,4,2029228.7
28694,82,20,44298,3,1991,1,3206,1,3,2870499.1
45521,53,32,26627,9,1991,1,8643,0,7,4554205.1
55727,46,77,94339,5,2016,0,5811,0,2,5574845.6
17307,20,66,81794,8,2006,1,2317,0,2,1740869.6
86474,98,33,50147,6,2004,0,1928,0,7,8649993.4
6012,53,38,96011,7,2013,1,392,0,4,607323.3
6617,51,38,26766,4,2010,1,7115,0,10,663333.0
34061,43,90,26346,1,1993,0,1616,1,9,3407529.3
12881,12,68,85503,5,2006,0,8654,1,0,1293712.6
48458,82,72,98206,6,2002,1,5447,0,6,4851198.2
89618,49,36,30029,6,2006,0,4321,1,0,8969519.6
10369,30,68,51049,10,1999,0,9629,0,10,1044857.9
21865,24,79,50297,5,1993,0,2324,1,3,2191960.3
30817,48,63,26230,3,2013,0,2444,1,3,3086005.3
8808,85,37,93756,10,1998,1,9287,0,5,888730.8
16006,69,26,6423,10,1990,1,3565,1,3,1610901.0
70517,37,1,67679,6,2002,0,9373,1,5,7052408.2
55592,68,10,80811,6,2021,0,7719,1,0,5564877.1
10978,17,55,25000,9,2015,0,9798,1,6,1103882.5
94388,7,81,41690,8,1996,1,7739,0,8,9446167.6
18041,90,99,90750,8,2006,1,1064,1,3,1817658.6
18220,91,97,50508,4,2013,1,2604,1,2,1833031.3
39342,7,84,88712,7,1994,0,1003,1,2,3946165.4
66570,59,2,85412,10,2008,1,2628,1,6,6657976.8
34592,100,33,63748,7,1994,1,7356,1,5,3465076.4
38700,25,26,101,7,1996,0,5100,1,8,3880396.6
32060,25,97,43201,9,2017,0,9618,0,8,3211741.7
8305,86,83,36778,9,2001,0,1648,0,4,838488.1
40080,50,82,11062,8,2018,0,5973,0,0,4011225.8
89335,66,54,25219,2,2004,0,9808,0,8,8938823.4
78546,92,84,52906,6,1991,0,978,1,4,7864949.1
50066,63,67,81340,5,1998,0,8716,0,1,5015729.8
37008,61,75,13250,3,2013,1,309,0,7,3708694.3
32876,98,32,48832,9,2008,1,3289,0,8,3299047.8
98266,14,42,27552,10,1990,1,6293,0,9,9838529.0
53665,66,81,16527,3,2002,1,1788,1,8,5379979.2
33469,98,91,29874,7,2016,0,6871,0,8,3362757.6
42578,49,23,3339,8,2013,1,6690,1,6,4264812.3
64329,25,44,54901,5,2019,0,7313,1,5,6436473.9
29512,96,26,49748,8,2012,1,6556,0,9,2955396.2
241,78,50,86182,6,2013,0,4070,0,7,29643.3
32709,47,80,86465,3,2006,0,2548,0,5,3284181.6
29271,70,98,33402,3,2021,1,3470,0,6,2938810.1
15542,19,27,48610,7,1996,0,563,0,5,1556824.6
94951,52,80,45083,4,2014,1,4121,1,3,9498811.4
12296,54,45,44308,10,2008,1,1449,1,0,1233872.8
42390,17,96,16776,1,2001,0,7796,1,0,4245306.1
2157,22,93,68218,4,2021,0,5209,0,9,222104.1
70576,66,7,75420,7,2013,0,6411,1,9,7061024.3
22232,24,52,20211,9,2005,1,135,1,8,2230267.5
31368,78,86,96715,5,2007,1,6510,1,0,3142605.7
2713,76,19,66674,5,2000,1,3827,1,1,273858.0
40939,60,6,67333,7,2017,0,9386,0,8,4097363.7
84892,59,46,1488,10,2007,0,271,1,3,8492982.7
43332,60,24,16226,5,2002,0,9557,0,4,4336691.2
39445,100,66,31733,5,1990,1,1391,0,10,3947777.0
82032,78,64,11922,10,2004,0,6972,1,8,8209534.4
813,45,15,52891,2,1998,1,4226,0,7,84647.8
43432,44,34,780,4,2010,1,2077,0,6,4347238.0
80988,34,57,56385,10,2015,0,8135,1,10,8104253.5
